Candidate ID,Month of Birth,Year of Birth,Gender,State (Location),10th percentage,12th percentage,10th and 12th Completion Years Diff,Degree of study,Specialization in study,College percentage,English 1,English 2,English 3,English 4,Quantitative Ability 1,Quantitative Ability 2,Quantitative Ability 3,Quantitative Ability 4,Domain Skills 1,Domain Skills 2,Domain Test 3,Domain Test 4,Analytical Skills 1,Analytical Skills 2,Analytical Skills 3,Performance
692,9,7,B,A,0.5786885245901643,0.7233870967741933,2,X,G,0.6514818880351265,0.566037735849057,0.31578947368421106,0.696969696969697,0.779141104294479,0.24561403508771873,0.568862275449102,0.44134078212290495,0.6073619631901842,0.45098039215686275,0.611510791366907,0.6879432624113473,0.7364341085271325,0.6851851851851852,0.8243243243243249,0.6547619047619051,LP
697,4,8,B,E,0.5281420765027325,0.604838709677419,2,X,G,0.3913282107574094,0.622641509433962,0.8157894736842108,0.696969696969697,0.7914110429447849,0.3859649122807017,0.544910179640719,0.620111731843575,0.6196319018404904,0.5294117647058819,0.7122302158273379,0.702127659574468,0.7674418604651162,0.5740740740740743,0.4459459459459457,0.7023809523809529,BP
699,9,7,B,E,0.7737704918032788,0.7572580645161291,2,X,J,0.49368825466520305,0.660377358490566,0.7105263157894741,0.6606060606060611,0.8282208588957061,0.45614035087719257,0.568862275449102,0.698324022346369,0.6196319018404904,0.6666666666666662,0.7985611510791369,0.7304964539007095,0.8449612403100775,0.6296296296296293,0.7162162162162169,0.4880952380952385,BP
700,11,7,A,A,0.7322404371584699,0.564516129032258,2,X,J,0.5384193194291986,1.0,0.8421052631578938,1.0,0.619631901840491,0.5438596491228065,0.6886227544910181,0.664804469273743,0.6441717791411038,0.4313725490196077,0.784172661870504,0.6312056737588656,0.6124031007751937,0.6481481481481476,0.49999999999999983,0.6547619047619051,LP
708,6,7,B,L,0.5827868852459019,0.14784946236559127,2,X,G,0.3249176728869374,0.754716981132076,0.5526315789473675,0.8545454545454549,0.631901840490798,0.5964912280701754,0.7485029940119761,0.597765363128492,0.8159509202453983,0.8235294117647056,0.827338129496403,0.8581560283687949,0.9379844961240317,0.944444444444444,0.8243243243243249,0.5595238095238095,BP
712,8,7,A,E,0.7737704918032788,0.739247311827957,2,X,J,0.47310647639956094,0.490566037735849,0.39473684210526305,0.6,0.680981595092025,0.5087719298245615,0.7485029940119761,0.575418994413408,0.6073619631901842,0.7254901960784313,0.8129496402877701,0.8156028368794328,0.8294573643410857,0.7962962962962963,0.8243243243243249,0.7499999999999996,BP
713,4,8,A,E,0.6295081967213116,0.5376344086021505,2,X,K,0.23435784851811192,0.283018867924528,0.2894736842105261,0.575757575757576,0.54601226993865,0.28070175438596473,0.580838323353293,0.46368715083798895,0.5950920245398769,0.37254901960784353,0.683453237410072,0.5886524822695034,0.6434108527131783,0.5555555555555559,0.8243243243243249,0.3690476190476196,LP
714,5,8,B,I,0.5081967213114753,0.13440860215053752,2,X,J,0.4802414928649832,0.641509433962264,0.8947368421052633,0.7818181818181821,0.582822085889571,0.3666666666666665,0.568862275449102,0.698324022346369,0.6932515337423308,0.5862745098039219,0.856115107913669,0.7588652482269509,0.8604651162790704,0.6648148148148149,0.7432432432432433,0.7976190476190473,LP
717,8,6,A,L,0.7103825136612025,0.1411290322580645,2,X,G,0.4094401756311745,0.584905660377358,0.5526315789473675,0.8060606060606059,0.693251533742331,0.5964912280701754,0.6047904191616771,0.743016759776536,0.8527607361963191,0.549019607843137,0.697841726618705,0.7730496453900717,0.7364341085271325,0.7037037037037035,0.608108108108109,0.7499999999999996,BP
718,2,8,B,E,0.5792349726775958,0.14327956989247292,2,X,G,0.38117453347969255,0.735849056603774,0.39473684210526305,0.8424242424242431,0.644171779141104,0.24561403508771873,0.7485029940119761,0.5195530726256979,0.5950920245398769,0.41176470588235264,0.7697841726618709,0.560283687943263,0.6434108527131783,0.4814814814814817,0.5810810810810814,0.392857142857143,MP
722,3,7,B,E,0.5737704918032787,0.658602150537634,2,X,J,0.3249176728869374,0.566037735849057,0.6842105263157892,0.672727272727273,0.754601226993865,0.4736842105263156,0.6287425149700601,0.620111731843575,0.7055214723926381,0.5098039215686279,0.726618705035971,0.7446808510638302,0.6899224806201549,0.8333333333333329,0.7972972972972975,0.6785714285714285,BP
724,1,8,A,E,0.6688524590163936,0.6897849462365588,2,X,G,0.22941822173435766,0.30188679245283,0.026315789473684736,0.721212121212121,0.582822085889571,0.43859649122807065,0.580838323353293,0.608938547486034,0.6687116564417174,0.7058823529411763,0.884892086330935,0.7872340425531924,0.7984496124031009,0.5555555555555559,0.770270270270271,0.34523809523809523,MP
725,5,8,B,E,0.5377049180327873,0.793010752688172,2,X,G,0.5828759604829858,0.490566037735849,0.39473684210526305,0.696969696969697,0.656441717791411,0.5438596491228065,0.70059880239521,0.49720670391061506,0.6073619631901842,0.7843137254901966,0.7985611510791369,0.8865248226950353,0.9379844961240317,0.5925925925925927,0.878378378378379,0.5119047619047619,BP
727,7,7,B,E,0.6994535519125682,0.4166666666666665,3,X,G,0.4198682766191,0.358490566037736,0.2105263157894739,0.636363636363636,0.619631901840491,0.5070175438596494,0.772455089820359,0.541899441340782,0.6809815950920246,0.5882352941176471,0.654676258992806,0.7446808510638302,0.8604651162790704,0.3703703703703707,0.5540540540540548,0.3214285714285719,MP
732,11,7,A,E,0.3497267759562843,0.20215053763440838,3,X,J,0.2392974753018664,0.0,0.07894736842105421,0.5030303030303029,0.447852760736196,0.0,0.353293413173653,0.39664804469273696,0.6319018404907977,0.49019607843137286,0.755395683453237,0.8014184397163121,0.5968992248062018,0.38703703703703696,0.7972972972972975,0.46428571428571414,MP
733,12,7,B,E,0.8743169398907105,0.6002688172043009,2,X,J,0.39352360043907786,0.39622641509434,0.5263157894736847,0.672727272727273,0.533742331288344,0.2105263157894738,0.497005988023952,0.47486033519553095,0.5828220858895706,0.6666666666666662,0.8129496402877701,0.7872340425531924,0.8449612403100775,0.5555555555555559,0.770270270270271,0.24999999999999972,MP
735,5,8,B,E,0.6819672131147541,0.4301075268817205,2,X,G,0.5115257958287593,0.60377358490566,0.39473684210526305,0.7333333333333331,0.717791411042945,0.4736842105263156,0.55688622754491,0.564245810055866,0.6809815950920246,0.7843137254901966,0.8705035971223021,0.8581560283687949,0.8294573643410857,0.6481481481481476,0.7972972972972975,0.5595238095238095,LP
737,11,7,A,E,0.7606557377049183,0.8602150537634405,2,X,G,0.280735455543359,0.754716981132076,0.605263157894737,0.8424242424242431,0.803680981595092,0.34912280701754345,0.46107784431137705,0.620111731843575,0.5705521472392634,0.49019607843137286,0.697841726618705,0.6312056737588656,0.7984496124031009,0.5925925925925927,0.6621621621621628,0.34523809523809523,MP
738,3,7,A,C,0.7650273224043715,0.908602150537634,2,X,J,0.46761800219538974,0.509433962264151,0.5526315789473675,0.6606060606060611,0.631901840490798,0.3333333333333337,0.6047904191616771,0.5083798882681559,0.5214723926380364,0.3333333333333334,0.5539568345323741,0.659574468085107,0.6589147286821713,0.5185185185185183,0.5270270270270274,0.46428571428571414,MP
740,7,8,A,C,0.7420765027322407,0.9731182795698925,2,X,J,0.930570801317234,0.528301886792453,0.10526315789473695,0.6606060606060611,0.7914110429447849,0.5263157894736845,0.7485029940119761,0.720670391061452,0.6196319018404904,0.6470588235294124,0.784172661870504,0.8439716312056741,0.7054263565891479,0.6648148148148149,0.770270270270271,0.7261904761904762,BP
741,5,8,A,C,0.737704918032787,0.8091397849462361,2,X,G,0.47420417124039527,0.169811320754717,0.5000000000000002,0.575757575757576,0.460122699386503,0.4210526315789476,0.70059880239521,0.564245810055866,0.5828220858895706,0.3921568627450976,0.5539568345323741,0.7872340425531924,0.6279069767441866,0.3333333333333329,0.7162162162162169,0.05952380952380944,BP
743,1,8,A,C,0.7057377049180329,0.9811827956989245,2,X,G,0.8386388583973654,0.39622641509434,0.4210526315789478,0.624242424242424,0.607361963190184,0.7192982456140353,0.796407185628743,0.564245810055866,0.8404907975460119,0.7647058823529415,0.856115107913669,0.7872340425531924,0.7364341085271325,0.7037037037037035,0.932432432432433,0.46428571428571414,BP
